,IDENTIFICATION,DIPLOMSECTION,DIPLOMOPTION,SCHOOL,SCHOOLSTATUS,SCHOOL_CORRECT,SCHOOL_RIGHT,OPTION
4221,11665.0,PEDAGOGIE,pedagogie generale,institut metanoia,protestant,metanoia,metanoia,pedagogie
4242,11688.0,LITERAIRE,latin philo,institut metanoia,protestant,metanoia,metanoia,latin philo
4253,11701.0,SCIENTIFIQUE,bio chimie,institut metanoia,protestant,metanoia,metanoia,bio-chimie
4267,11716.0,PEDAGOGIE,pedagogie generale,institut metanoia,protestant,metanoia,metanoia,pedagogie
4269,11718.0,SCIENTIFIQUE,bio chimie,institut metanoia,protestant,metanoia,metanoia,bio-chimie
4273,11722.0,PEDAGOGIE,pedagogie generale,institut metanoia,protestant,metanoia,metanoia,pedagogie
4299,11749.0,COMMERCIALE,commercialen et administraive,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4331,11783.0,COMMERCIALE,commercialen et administraive,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4335,11787.0,COMMERCIALE,commercialen et administraive,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4351,11805.0,SCIENTIFIQUE,bio chimie,institut metanoia,protestant,metanoia,metanoia,bio-chimie
4365,11820.0,LITERAIRE,latin philo,institut metanoia,protestant,metanoia,metanoia,latin philo
4383,11841.0,PEDAGOGIE,pedagogie generale,institut metanoia,protestant,metanoia,metanoia,pedagogie
4393,11853.0,COMMERCIALE,commercialen et administraive,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4435,11900.0,COMMERCIALE,commerciale administrative,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4464,11983.0,PEGAGOGIE,pedagogie generale,institut metanoia,privé,metanoia,metanoia,pedagogie
4495,12017.0,LITTERAIRE,latin philo,institut metanoia,privé,metanoia,metanoia,latin philo
4499,12021.0,LITTERAIRE,latin philo,institut metanoia,protestant,metanoia,metanoia,latin philo
4502,12025.0,LITTERAIRE,latin philo,institut metanoia,protestant,metanoia,metanoia,latin philo
4508,12032.0,LITTERAIRE,latin philo,institut metanoia,protestant,metanoia,metanoia,latin philo
4525,12051.0,SCIENTIFIQUE,bio chimie,institut metanoia,protestant,metanoia,metanoia,bio-chimie
4532,12058.0,COMMERCIALE,commerciale et administrative,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4604,12135.0,COMMERCIALE,commerciale et administrative,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4687,12227.0,COMMERCIALE,commerciale administrative,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4689,12229.0,SCIENTIFIQUE,bio chimie,institut metanoia,protestant,metanoia,metanoia,bio-chimie
3334,10354.0,Technique,commerciale et administrative,institut tumba,privé,tumba,tumba,commmerciale et adm
3354,10376.0,Pédagogique,pédagogie générale,tumba,privé,tumba,tumba,pedagogie
3427,10457.0,Technique,commerciale et administrative,tumba,privé,tumba,tumba,commmerciale et adm
3430,10460.0,Scientifique,biologie chimie,tumba,privé,tumba,tumba,bio-chimie
3437,10468.0,Pédagogique,pédagogie générale,tumba,privé,tumba,tumba,pedagogie
3488,10525.0,Pédagogique,pédagogie générale,tumba,privé,tumba,tumba,pedagogie
3693,10742.0,Pédagogique,pédagogie générale,tumba,privé,tumba,tumba,pedagogie
3702,10751.0,Pédagogique,pédagogie générale,tumba,privé,tumba,tumba,pedagogie
3708,10757.0,Scientifique,biologie chimie,tumba,privé,tumba,tumba,bio-chimie
4289,11739.0,COMMERCIALE,commercialen et administraive,institut tumba,privé,tumba,tumba,commmerciale et adm
207,4107.0,PEDAGOGIEQUE,pdagogie generale,i namurhera,publique,namurhera,namurera,pedagogie
359,4467.0,PED,pg,namurhera,publique,namurhera,namurera,pedagogie
863,6375.0,PD,pg,namurera,publique,namurera,namurera,pedagogie
1967,8675.0,Technique,commerciale administrative,nuru/uvira,publique,nuru/uvira,namurera,commmerciale et adm
2742,9613.0,Pédagogique,pédagogie générale,kanyamwera,publique,kanyamwera,namurera,pedagogie
3139,10151.0,Pédagogique,pédagogie générale,namurhera,publique,namurhera,namurera,pedagogie
3312,10330.0,Pedagogique,pedagogie générale,amugeri,publique,amugeri,namurera,pedagogie
4080,11513.0,PEDAGOGIE,pedagogie generale,institut namurhera,publique,namurhera,namurera,pedagogie
85,3635.0,PED,pg,mabula,publique,mabula,mabula,pedagogie
444,4643.0,PED,pg,mabula,publique,mabula,mabula,pedagogie
4589,12120.0,PEDAGOGIE,pedagogie generale,institut mbula,publique,mbula,mabula,pedagogie
4609,12140.0,PEDAGOGIE,pedagogie generale,mabula/ihoka,privé,mabula/ihoka,mabula,pedagogie
1107,7027.0,PED,pg,tisiesi,privé,tisiesi,tisiesi,pedagogie
4199,11642.0,TECHNIQUE,sociale,cs tisiesi,privé,tisiesi,tisiesi,sociale
1562,8139.0,TECHNIQUE,commerciale administrative,virunga quartier,privé,virunga quartier,virunga/quartier,commmerciale et adm
3949,11372.0,PEDAGOGIE,pedagogie generale,cs virunga/sud,privé,virunga/sud,virunga/quartier,pedagogie
4498,12020.0,COMMERCIALE,commerciale et administrative,institut virunga/quartier,publique,virunga/quartier,virunga/quartier,commmerciale et adm
1863,8533.0,Technique,sociale,st etienne,catholique,st etienne,st etienne,sociale
4149,11590.0,COMMERCIALE,commerciale et administrative,saint etienne college,catholique,saint etienne,st etienne,commmerciale et adm
442,4639.0,PED,pg,chidasa,protestant,chidasa,chidasa,pedagogie
707,5701.0,PED,pg,cidasa,protestant,cidasa,chidasa,pedagogie
1479,7787.0,LITTERAIRE,latin philo,ciesk,protestant,ciesk,chidasa,latin philo
1900,8588.0,Pédagogique,pédagogie générale,cidasa,protestant,cidasa,chidasa,pedagogie
2795,9704.0,Technique,sociale,chireja,protestant,chireja,chidasa,sociale
3189,10202.0,Technique,sociale,acg imara,protestant,acg imara,chidasa,sociale
3802,10853.0,Scientifique,mathématique physique,cidasa,protestant,cidasa,chidasa,math-physique
4587,12118.0,PEDAGOGIE,pedagogie generale,institut chiduha,protestant,chiduha,chidasa,pedagogie
191,4043.0,LITT,lp,i de l'enano,privé,de l'enano,de l'unite,latin philo
2288,9098.0,Technique,commerciale et administrative,collège de l'enano,privé,de l'enano,de l'unite,commmerciale et adm
3328,10347.0,Technique,sociale,institut de la trinité,privé,de la trinité,de l'unite,sociale
3927,11350.0,TECHNIQUE,sociale,cs de l'unite,privé,de l'unite,de l'unite,sociale
4261,11710.0,TECHNIQUE,mecanique automobile,cs de l'union,privé,de l'union,de l'unite,mec gene
4409,11871.0,PEGAGOGIE,pedagogie generale,institut de l'unite,privé,de l'unite,de l'unite,pedagogie
4577,12107.0,LITTERAIRE,latin philo,college de l'enano,catholique,de l'enano,de l'unite,latin philo
4606,12137.0,PEDAGOGIE,pedagogie generale,institut de luiro,publique,de luiro,de l'unite,pedagogie
1458,7746.0,PED,pg,busimba,catholique,busimba,busimba,pedagogie
4553,12081.0,PEDAGOGIE,pedagogie generale,institut busimba,catholique,busimba,busimba,pedagogie
70,3579.0,PEDAGOGIEQUE,peda generale,inst lukanga,protestant,lukanga,lukanga,pedagogie
150,3862.0,TECHNIQUE,commerciale et adm,inst lukunga,protestant,lukunga,lukanga,commmerciale et adm
239,4238.0,PEG,pg,lukanga,protestant,lukanga,lukanga,pedagogie
389,4531.0,TEC,ca,lukanga,protestant,lukanga,lukanga,commmerciale et adm
728,5750.0,SC,bc,lukanga,protestant,lukanga,lukanga,bio-chimie
951,6552.0,PED,pg,lukanga,protestant,lukanga,lukanga,pedagogie
1080,6949.0,PED,pg,lukanga,protestant,lukanga,lukanga,pedagogie
1419,7667.0,SC,bc,lukanga,protestant,lukanga,lukanga,bio-chimie
2006,8719.0,Pédagogique,pédagogie générale,lukanga,protestant,lukanga,lukanga,pedagogie
2007,8720.0,Pédagogique,pédagogie générale,lukanga,protestant,lukanga,lukanga,pedagogie
2028,8758.0,Pédagogique,pédagogie générale,lukanga,protestant,lukanga,lukanga,pedagogie
2446,9263.0,Technique,mécanique outil,lukanga,protestant,lukanga,lukanga,machine outil
2663,9517.0,Technique,mécanique machines outlis,lukanga,protestant,lukanga,lukanga,mecanique machines outils
2740,9610.0,Scientifique,biologie chimie,lukanga,protestant,lukanga,lukanga,bio-chimie
2753,9630.0,Technique,commerciale informatique,lukanga,protestant,lukanga,lukanga,commerciale informatique
3594,10640.0,Technique,electronique,it lukanga,protestant,it lukanga,lukanga,elec
3737,10786.0,Pédagogique,pédagogie générale,lukanga,protestant,lukanga,lukanga,pedagogie
3854,10909.0,Technique,commerciale et administrative,lukanga,protestant,lukanga,lukanga,commmerciale et adm
3869,10933.0,Pédagogique,pégagogie générale,lukanga,protestant,lukanga,lukanga,pedagogie
4156,11597.0,PEDAGOGIE,pedagogie generale,institut de lukanga,protestant,de lukanga,lukanga,pedagogie
4483,12005.0,PEGAGOGIE,pedagogie generale,institut lukanga,protestant,lukanga,lukanga,pedagogie
129,3791.0,PEDAGOGIEQUE,peda generale,i kiluku,protestant,kiluku,kalungu,pedagogie
283,4333.0,PED,pg,bangu,protestant,bangu,kalungu,pedagogie
285,4335.0,PED,pg,mazinge,protestant,mazinge,kalungu,pedagogie
415,4577.0,PED,pg,kiluku,protestant,kiluku,kalungu,pedagogie
498,4766.0,TEC,soc,bangu,protestant,bangu,kalungu,sociale
541,4854.0,LIT,lp,bangu,protestant,bangu,kalungu,latin philo
629,5074.0,PED,pg,inst kalungu,protestant,kalungu,kalungu,pedagogie
877,6397.0,PED,pg,kalungu,protestant,kalungu,kalungu,pedagogie
898,6435.0,TEC,sociale,kalundu,protestant,kalundu,kalungu,sociale
1010,6682.0,LIT,lp,bangu,protestant,bangu,kalungu,latin philo
1032,6739.0,PED,pg,enungu,protestant,enungu,kalungu,pedagogie
1036,6745.0,PED,pg,kalungu,protestant,kalungu,kalungu,pedagogie
1041,6755.0,TEC,hotesse d'acc,kisungu,protestant,kisungu,kalungu,hotesse d'acceuil
1103,7021.0,PED,pg,kalungu,protestant,kalungu,kalungu,pedagogie
1154,7107.0,PED,pg,kalungu,protestant,kalungu,kalungu,pedagogie
1180,7151.0,PEDAGOGIEQUE,peda generale,institut kiluku,protestant,kiluku,kalungu,pedagogie
1233,7260.0,PED,pg,kalungu,protestant,kalungu,kalungu,pedagogie
1397,7626.0,PED,pg,kalngu,protestant,kalngu,kalungu,pedagogie
1416,7661.0,LITTERAIRE,latin philo,institut bangu,protestant,bangu,kalungu,latin philo
1546,8119.0,PEDAGOGIE,pedagogie generale,kasuku,protestant,kasuku,kalungu,pedagogie
1681,8286.0,PEDAGOGIE,pedagogie generale,kakungwe,protestant,kakungwe,kalungu,pedagogie
1752,8382.0,Technique,vétérinaire,itv/walukngu,protestant,itv/walukngu,kalungu,vétérinaire
1821,8473.0,Technique,sociale,kalundu,protestant,kalundu,kalungu,sociale
1854,8519.0,Pédagogie,pédagogie générale,kalungu,protestant,kalungu,kalungu,pedagogie
2023,8748.0,Technique,sociale,bangu,protestant,bangu,kalungu,sociale
2451,9268.0,Pédagogique,pédagogie générale,bangu,protestant,bangu,kalungu,pedagogie
2468,9288.0,Pédagogique,pédagogie générale,kadutu,protestant,kadutu,kalungu,pedagogie
2537,9365.0,Pédagogique,pédagogie générale,makungu,protestant,makungu,kalungu,pedagogie
2638,9491.0,Littéraire,latin philo,bangu,protestant,bangu,kalungu,latin philo
2722,9587.0,Pédagogique,pédagogie générale,kiluku,protestant,kiluku,kalungu,pedagogie
2727,9593.0,Pédagogique,pédagogie générale,mabingu,protestant,mabingu,kalungu,pedagogie
2813,9750.0,Pédagogique,pédagogie générale,kisungu,protestant,kisungu,kalungu,pedagogie
2931,9924.0,Technique,sociale,kadutu,protestant,kadutu,kalungu,sociale
2974,9972.0,Pédagogique,pédagogie générale,kisungu,protestant,kisungu,kalungu,pedagogie
3198,10211.0,Pédagogique,pédagogie générale,mulungu,protestant,mulungu,kalungu,pedagogie
3270,10284.0,Pédagogique,pédagogie générale,institut kalungu,protestant,kalungu,kalungu,pedagogie
3347,10369.0,Scientifique,mathématique physique,kisungu,protestant,kisungu,kalungu,math-physique
3359,10381.0,Scientifique,mathématique physique,kisungu,protestant,kisungu,kalungu,math-physique
3403,10431.0,Pédagogique,pédagogie générale,kakungwe,protestant,kakungwe,kalungu,pedagogie
3615,10662.0,Pédagogique,pédagogie générale,institut bangu,protestant,bangu,kalungu,pedagogie
3729,10778.0,Scientifique,mathématique-physique,kisungu,protestant,kisungu,kalungu,math-physique
3791,10842.0,Pédagogique,pédagogie générale,cs bahunga,protestant,bahunga,kalungu,pedagogie
3986,11411.0,TECHNIQUE,sociale,institut kalungu,protestant,kalungu,kalungu,sociale
4232,11677.0,TECHNIQUE,sociale,institut bangu,protestant,bangu,kalungu,sociale
4245,11691.0,PEDAGOGIE,pedagogie generale,institut bangu,protestant,bangu,kalungu,pedagogie
4319,11771.0,PEDAGOGIE,pedagogie generale,institut kasuku,protestant,kasuku,kalungu,pedagogie
4549,12077.0,COMMERCIALE,commerciale et administrative,institut bangu,privé,bangu,kalungu,commmerciale et adm
4595,12126.0,PEDAGOGIE,pedagogie generale,cs kalonda,privé,kalonda,kalungu,pedagogie
4639,12173.0,PEDAGOGIE,pedagogie generale,institut kalungu,publique,kalungu,kalungu,pedagogie
20,1752.0,Technique,sociale,cs suka lapereaux,privé,suka lapereaux,la pereaux,sociale
1012,6692.0,TEC,sociale,lapereaux,privé,lapereaux,la pereaux,sociale
1563,8141.0,TECHNIQUE,sociale,cs lapereaux,privé,lapereaux,la pereaux,sociale
3412,10441.0,Technique,sociale,cs lapereaux,privé,lapereaux,la pereaux,sociale
4367,11823.0,TECHNIQUE,construction,cs la pereaux,privé,la pereaux,la pereaux,construction
4385,11843.0,TECHNIQUE,sociale,cs la pereaux,privé,la pereaux,la pereaux,sociale
2560,9394.0,Technique,sociale,cs kiyabo,privé,kiyabo,kiyabo,sociale
2710,9569.0,Technique,sociale,cs kiyabo,privé,kiyabo,kiyabo,sociale
3983,11408.0,PEDAGOGIE,pedagogie generale,cs kiyabo,privé,kiyabo,kiyabo,pedagogie
373,4490.0,SC,mp,inst pilote de kalima,privé,pilote de kalima,pilote de katana,math-physique
2239,9046.0,Technique,sociale,pilote de kalima,privé,pilote de kalima,pilote de katana,sociale
2283,9093.0,Scientifique,biologie chimie,institut pilote de kalima,privé,pilote de kalima,pilote de katana,bio-chimie
2803,9730.0,Scientifique,mathématique physique,pilote de kalima,privé,pilote de kalima,pilote de katana,math-physique
3526,10568.0,Scientifique,biologie-chimie,pilote de katana,privé,pilote de katana,pilote de katana,bio-chimie
3866,10926.0,Technique,sociale,pilote de kalima,privé,pilote de kalima,pilote de katana,sociale
69,3578.0,PEDAGOGIEQUE,pg,i malkia wambingu,catholique,malkia wambingu,malikia wa bingu,pedagogie
265,4300.0,TECHN,comm informatique,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,commerciale informatique
288,4341.0,TEC,com informatique,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,commerciale informatique
289,4342.0,TECH COMMERC INFO,inconnu,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,inconnu
426,4612.0,TECH,informatique,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,commerciale informatique
543,4858.0,TEC,ca,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,commmerciale et adm
694,5674.0,TEC,ca,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,commmerciale et adm
737,5822.0,SC,bc,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,bio-chimie
740,6044.0,Scientifique,biologie chimie,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,bio-chimie
1115,7040.0,PED,pg,mulezi wa bana,catholique,mulezi wa bana,malikia wa bingu,pedagogie
1170,7133.0,SC,bc,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,bio-chimie
1385,7604.0,SC,ca,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,commmerciale et adm
2760,9639.0,Scientifique,biologie chimie,malika wa mbingu,catholique,malika wa mbingu,malikia wa bingu,bio-chimie
2799,9719.0,Pédagogique,pédagogie générale,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,pedagogie
3755,10806.0,Scientifique,biologie-chimie,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,bio-chimie
4146,11586.0,COMMERCIALE,commerciale informatique,institut malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,commerciale informatique
4334,11786.0,COMMERCIALE,commerciale informatique,institut malikiya wa mbingu,catholique,malikiya wa mbingu,malikia wa bingu,commerciale informatique
4388,11848.0,PEDAGOGIE,pedagogie generale,institut malikia wa bingu,catholique,malikia wa bingu,malikia wa bingu,pedagogie
4480,12001.0,COMMERCIALE,commerciale informatique,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,commerciale informatique
4481,12002.0,COMMERCIALE,commerciale informatique,malkia wa mbingu,privé,malkia wa mbingu,malikia wa bingu,commerciale informatique
4484,12006.0,COMMERCIALE,commerciale informatique,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,commerciale informatique
4485,12007.0,SCIENTIFIQUE,bio chimie,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,bio-chimie
4492,12014.0,PEDAGOGIE,pedagogie generale,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,pedagogie
844,6349.0,LIT,lp,cs la sapiniere,privé,la sapiniere,la sapiniere,latin philo
1469,7766.0,LITTERAIRE,latin philo,c.s la sapiniere,privé,c.s la sapiniere,la sapiniere,latin philo
3623,10671.0,Pédagogique,pédagogie générale,cs la spinière,privé,la spinière,la sapiniere,pedagogie
4710,12254.0,LITTERAIRE,latin philo,cs la sapiniere,privé,la sapiniere,la sapiniere,latin philo
49,3159.0,PEDAGOGIEQUE,pËda generale,inst bora,privé,bora,moria,pedagogie
122,3756.0,PED,pg,i moria,privé,moria,moria,pedagogie
151,3864.0,PEDAGOGIEQUE,peda gen,i moria,privé,moria,moria,pedagogie
311,4375.0,PED,pg,monvu,privé,monvu,moria,pedagogie
366,4475.0,PED,pg,inst bora,privé,bora,moria,pedagogie
460,4672.0,PED,pg,moria,privé,moria,moria,pedagogie
601,4988.0,PED,pg,moria,privé,moria,moria,pedagogie
634,5097.0,PED,pg,moria,privé,moria,moria,pedagogie
855,6367.0,TEC,ca,moria,privé,moria,moria,commmerciale et adm
879,6405.0,TEC,ca,moria,privé,moria,moria,commmerciale et adm
985,6622.0,TEC,ca,moria,privé,moria,moria,commmerciale et adm
1606,8193.0,PEDAGOGIE,pedagogie generale,bora,privé,bora,moria,pedagogie
1668,8272.0,Pédagogique,pédagogie générale,moria,privé,moria,moria,pedagogie
1683,8288.0,TECHNIQUE,commerciale administrative,moria,privé,moria,moria,commmerciale et adm
1794,8436.0,Pédagogique,pédagogie générale,moria,privé,moria,moria,pedagogie
1965,8673.0,Technique,commerciale administrative,moria,privé,moria,moria,commmerciale et adm
1995,8708.0,Pédagogique,pédagogie générale,moria,privé,moria,moria,pedagogie
2188,8993.0,Technique,commerciale et administrative,moria,privé,moria,moria,commmerciale et adm
2275,9085.0,Technique,sociale,moria,privé,moria,moria,sociale
2337,9149.0,Pédagogique,pédagogie générale,bora,privé,bora,moria,pedagogie
2375,9192.0,Technique,commerciale et administrative,moria,privé,moria,moria,commmerciale et adm
2389,9206.0,Technique,sociale,cs jerico,privé,jerico,moria,sociale
2392,9209.0,Technique,sociale,cs jerico,privé,jerico,moria,sociale
2462,9281.0,Pédagogique,pédagogie générale,moria,privé,moria,moria,pedagogie
2465,9284.0,Technique,sociale,moria,privé,moria,moria,sociale
2516,9344.0,Technique,sociale,mbogha,privé,mbogha,moria,sociale
2546,9377.0,Pédagogique,pédagogie générale,cofi,privé,cofi,moria,pedagogie
2595,9439.0,Technique,sociale,moria,privé,moria,moria,sociale
2611,9455.0,Technique,sociale,moria,privé,moria,moria,sociale
2806,9739.0,Technique,sociale,jerico,privé,jerico,moria,sociale
3012,10014.0,Technique,commerciale et administrative,moria,privé,moria,moria,commmerciale et adm
3134,10146.0,Technique,commerciale et administrative,moria,privé,moria,moria,commmerciale et adm
3151,10163.0,Technique,commerciale et administrative,moria,privé,moria,moria,commmerciale et adm
3250,10264.0,Technique,commerciale et administrative,institut moria,privé,moria,moria,commmerciale et adm
3267,10281.0,Technique,sociale,institut moria,privé,moria,moria,sociale
3280,10296.0,Pédagogique,pédagogie générale,moria,privé,moria,moria,pedagogie
3399,10426.0,Technique,commerciale et administrative,moria,privé,moria,moria,commmerciale et adm
3523,10565.0,Pédagogique,pédagogie générale,moria,privé,moria,moria,pedagogie
3527,10570.0,Pédagogique,pédagogie générale,moria,privé,moria,moria,pedagogie
3595,10641.0,Technique,commerciale et administrative,moria,privé,moria,moria,commmerciale et adm
3685,10733.0,Pédagogique,pédagogie générale,moria,privé,moria,moria,pedagogie
3691,10740.0,Technique,commerciale et administrative,moria,privé,moria,moria,commmerciale et adm
3841,10893.0,Technique,commerciale et administrative,moria,privé,moria,moria,commmerciale et adm
3867,10927.0,Technique,sociale,cs jericho,privé,jericho,moria,sociale
4010,11436.0,TECHNIQUE,sociale,institut moria,publique,moria,moria,sociale
4095,11531.0,PEDAGOGIE,pedagogie generale,cs jerico,privé,jerico,moria,pedagogie
4298,11748.0,TECHNIQUE,sociale,college adora,privé,adora,moria,sociale
4317,11769.0,TECHNIQUE,sociale,institut moriya,publique,moriya,moria,sociale
4384,11842.0,TECHNIQUES,sociale,institut moria,publique,moria,moria,sociale
4411,11873.0,PEGAGOGIE,pedagogie generale,cs  horizon,privé,horizon,moria,pedagogie
4427,11891.0,PEGAGOGIE,pedagogie generale,cs eveil,privé,eveil,moria,pedagogie
4526,12052.0,TECHNIQUE,sociale,cs jerico,privé,jerico,moria,sociale
4527,12053.0,PEDAGOGIE,pedagogie generale,institut moriya,protestant,moriya,moria,pedagogie
4612,12143.0,PEDAGOGIE,pedagogie generale,institut moriya,protestant,moriya,moria,pedagogie
4670,12206.0,COMMERCIALE,commerciale informatique,cs jerico,privé,jerico,moria,commerciale informatique
4681,12220.0,COMMERCIALE,commerciale informatique,cs jerico,privé,jerico,moria,commerciale informatique
837,6335.0,TECH,soc,masikilizano,catholique,masikilizano,masikilizano,sociale
4439,11904.0,TECHNIQUE,sociale,institut masikilizano,catholique,masikilizano,masikilizano,sociale
4677,12216.0,SCIENTIFIQUE,bio chimie,institut masikilizano,privé,masikilizano,masikilizano,bio-chimie
166,3914.0,PEDAGOGIEQUE,pg,i msawato,publique,msawato,mawato,pedagogie
186,4032.0,PEDAGOGIEQUE,peda generale,institut msawato,publique,msawato,mawato,pedagogie
220,4168.0,PEDAGOGIEQUE,pg,inst musawato,publique,musawato,mawato,pedagogie
753,6153.0,SC,bc,lycee kazaroho,publique,kazaroho,mawato,bio-chimie
769,6204.0,Pédagogique,pédagogie générale,msawato,publique,msawato,mawato,pedagogie
1130,7060.0,PED,pg,mapatano,publique,mapatano,mawato,pedagogie
1209,7211.0,SC,mp,lycee mapatano,publique,mapatano,mawato,math-physique
1409,7647.0,SC,mp,mapatano,publique,mapatano,mawato,math-physique
1454,7736.0,PEDAGOGIEQUE,peda generale,lycee mapatano,publique,mapatano,mawato,pedagogie
1530,8095.0,PEDAGOGIE,pedagogie generale,msawato,publique,msawato,mawato,pedagogie
1875,8553.0,Technique,sociale,msawato,publique,msawato,mawato,sociale
1910,8606.0,Technique,sociale,msawato,publique,msawato,mawato,sociale
1950,8654.0,Pédagogique,pédagogie générale,zawadi,publique,zawadi,mawato,pedagogie
2194,8999.0,Technique,sociale,msawato,publique,msawato,mawato,sociale
2244,9051.0,Technique,sociale,mawato,publique,mawato,mawato,sociale
2373,9189.0,Pédagogique,pédagogie générale,msawato,publique,msawato,mawato,pedagogie
2414,9231.0,Scientifique,mathématique physiqe,lycée mapatano,publique,mapatano,mawato,math-physique
2612,9456.0,Pédagogique,pédagogie générale,vuvatsi,publique,vuvatsi,mawato,pedagogie
2692,9548.0,Technique,sociale,msawato,publique,msawato,mawato,sociale
2861,9853.0,Scientifique,mathématique physique,lycée mapatano,publique,mapatano,mawato,math-physique
3039,10044.0,Technique,sociale,msawato,publique,msawato,mawato,sociale
3582,10628.0,Pédagogique,pédagogie générale,makito,publique,makito,mawato,pedagogie
3653,10701.0,Pédagogique,pédagogie générale,msawato,publique,msawato,mawato,pedagogie
3727,10776.0,Pédagogique,pédagogie générale,msawato,publique,msawato,mawato,pedagogie
3896,11316.0,TECHNIQUE,sociale,institut msawato,publique,msawato,mawato,sociale
4006,11432.0,PEDAGOGIE,pedagogie generale,institut msawato,protestant,msawato,mawato,pedagogie
4459,11978.0,PEGAGOGIE,pedagogie generale,institut msawato,protestant,msawato,mawato,pedagogie
8,665.0,TECHNIQUE,sociale,institut mikeno,publique,mikeno,mikeno nc,sociale
64,3353.0,TECHNIQUE,commerciale et adm,"inst mikeno n,c,",publique,"mikeno n,c,",mikeno nc,commmerciale et adm
111,3716.0,TECHN,ca,i mikeno/off,publique,mikeno/off,mikeno nc,commmerciale et adm
218,4149.0,TECHNI,sociale,inst mikeno,publique,mikeno,mikeno nc,sociale
230,4206.0,TEC,ca,mikeno,publique,mikeno,mikeno nc,commmerciale et adm
410,4566.0,HOTESE D'ACCEUIL,hotesse d'aceuil,inst mikeno,publique,mikeno,mikeno nc,hotesse d'acceuil
471,4706.0,TECH,sociale,mikeno/nc,publique,mikeno/nc,mikeno nc,sociale
585,4947.0,TECH,sociale,mikeno/nc,publique,mikeno/nc,mikeno nc,sociale
706,5700.0,TECHN,sociale,i mikeno,publique,mikeno,mikeno nc,sociale
888,6422.0,TECHNIQUE,com et adm,institut mikeno,publique,mikeno,mikeno nc,commmerciale et adm
904,6444.0,Technique,sociale,mikeno nc,publique,mikeno nc,mikeno nc,sociale
978,6609.0,TEC,sociale,mikeno nc,publique,mikeno nc,mikeno nc,sociale
990,6631.0,TEC,sociale,mikeno nc,publique,mikeno nc,mikeno nc,sociale
1049,6771.0,TEC,soc,mikeno,publique,mikeno,mikeno nc,sociale
1207,7204.0,TEC CA,ca,mikeno nc,publique,mikeno nc,mikeno nc,commmerciale et adm
1250,7297.0,TEC,ca,mikeno nc,publique,mikeno nc,mikeno nc,commmerciale et adm
1586,8165.0,TECHNIQUE,commerciale administrative,mikeno nc,publique,mikeno nc,mikeno nc,commmerciale et adm
1593,8174.0,TECHNIQUE,sociale,mikeno nc,publique,mikeno nc,mikeno nc,sociale
1600,8186.0,TECHNIQUE,sociale,mikeno nc,publique,mikeno nc,mikeno nc,sociale
1615,8204.0,Technique,sociale,mikeno nc,publique,mikeno nc,mikeno nc,sociale
1646,8243.0,TECHNIQUE,commerciale administrative,mikeno nc,publique,mikeno nc,mikeno nc,commmerciale et adm
1647,8244.0,Techhnique,sociale,mikeno nc,publique,mikeno nc,mikeno nc,sociale
1652,8249.0,Pédagogique,pédagogie générale,mikeno nk,publique,mikeno nk,mikeno nc,pedagogie
1660,8259.0,TECHNIQUE,commerciale administrative,mikeno nc,publique,mikeno nc,mikeno nc,commmerciale et adm
1740,8366.0,Technique,sociale,mikeno nc,publique,mikeno nc,mikeno nc,sociale
1851,8515.0,Technique,sociale,mikeno nc,publique,mikeno nc,mikeno nc,sociale
1946,8650.0,Pédagogique,pédagogie générale,mikeno nc,publique,mikeno nc,mikeno nc,pedagogie
2049,8822.0,Technique,sociale,mikeno nc,publique,mikeno nc,mikeno nc,sociale
2057,8847.0,Technique,sociale,mikeno,publique,mikeno,mikeno nc,sociale
2210,9015.0,Technique,commerciale et administrative,mikeno nc,publique,mikeno nc,mikeno nc,commmerciale et adm
