,IDENTIFICATION,DIPLOMSECTION,DIPLOMOPTION,SCHOOL,SCHOOLSTATUS
247,4255,TEC,CA,MIKENO ISL,inconnu
248,4258,SC,BC,BAKANJA,inconnu
249,4261,TEC,CA,LYCEE KIMBILIO,inconnu
250,4263,SC,PH,ALFAJIRI,inconnu
251,4267,TEC,CA,TUUNGANE,inconnu
252,4269,TEC,CA,METANOIA,inconnu
253,4270,TEC,CA,METANOIA,inconnu
254,4271,PED,PG,MONT GOMA,inconnu
255,4272,TEC,CA,Mgr KATALIKO,inconnu
256,4274,PED,PG,EPSK/FOMULAC,inconnu
257,4276,TEC,CA,IBANDA,inconnu
258,4277,TEC,CA,IBANDA,inconnu
259,4278,SC,BC,INST STE FAMILLE,inconnu
260,4280,SC,BC,ALFAJIRI,inconnu
261,4282,ELECT,ELE INDUDTRIELLE,ITFM,inconnu
262,4284,ELEC,ELECTRICITE INDUST,ITFM,inconnu
263,4298,SC,BC,METANOIA,inconnu
264,4299,SC,BC,L AMANI,inconnu
265,4300,TECHN,COMM INFORMATIQUE,MALKIA WA MBINGU,inconnu
266,4301,TEC,ELECTRIC,ITIG,inconnu
267,4306,TECH,ELECTRIC,ITIG,inconnu
268,4307,MEC,MACANIQUE MACHINES OU,ITI GOMBE,inconnu
269,4309,SC,BC,METANOIA,inconnu
270,4310,SC,BC,MAJENGO,inconnu
271,4311,SC,MP,VUNGI,inconnu
272,4313,ELECTRICITE,ELEC GENERALE,ITFM,inconnu
273,4315,TEC,CA,METANOIA,inconnu
274,4316,TECH,CA,INST ISIDORE BAKANDJA,inconnu
275,4319,TEC,CA,L KIMBILIO,inconnu
276,4320,TECH,CA,METANOIA,inconnu
277,4323,TECH,CA,INST ISIDORE BAKANJA,inconnu
278,4325,SC,BC,BAKANJA,inconnu
279,4326,TEC,CA,BAKANJA,inconnu
280,4327,PED,PG,METANOIA,inconnu
281,4329,SC,MP,FRERE ILOLO,inconnu
282,4330,TEC,CA,METANOIA,inconnu
283,4333,PED,PG,BANGU,inconnu
284,4334,TECH,CA,CS ESPOIR,inconnu
285,4335,PED,PG,MAZINGE,inconnu
286,4338,SC,BC,NYAMILIMA,inconnu
287,4340,TECH,CA,INST MAMA YETU,inconnu
288,4341,TEC,COM INFORMATIQUE,MALKIA WA MBINGU,inconnu
289,4342,TECH COMMERC INFO,inconnu,MALKIA WA MBINGU,inconnu
290,4344,TEC,CA,METANOIA,inconnu
291,4346,TECH,SOCIALE,INST ACTION KUSAIDIA,inconnu
292,4347,TEC,CA,ZANNER,inconnu
293,4348,SC,BC,MARANATHA,inconnu
294,4349,LIT,LP,MWANGA,inconnu
295,4352,PED,PG,MAENDELEO,inconnu
296,4354,TECH,CA,SAINT JOSEPH,inconnu
297,4355,TEC,CA,MAJENGO,inconnu
298,4357,TEC,CA,SAINT JOSEPH,inconnu
299,4358,PED,PG,L MAPENDO,inconnu
300,4359,TEC,CA,ST JOSEPH,inconnu
301,4360,TECH,CA,INST SAINT JOSEPH,inconnu
302,4362,PED,PG,BAKANJA,inconnu
303,4363,TEC,SOCIALE,MIKENO ISL,inconnu
304,4364,PED,PG,L MAPEMA,inconnu
305,4365,PED,PG,MAPEMA,inconnu
306,4367,SC,MP,FARAJA,inconnu
307,4369,LIT,LP,MWANGA,inconnu
308,4370,TEC,SOCIALE,MWANGA,inconnu
309,4371,MECANIQUE,MACHINES OUT,ITFM,inconnu
310,4372,SC,BC,MAMA YETU,inconnu
311,4375,PED,PG,MONVU,inconnu
312,4377,PED,PG,BAMBU,inconnu
313,4378,SC,BC,CS ETOILE,inconnu
314,4379,MECANIQUE,MECANIQUE GENERALE,KYESHERO,inconnu
315,4380,TEC,ELECTR INDUS,ITIG,inconnu
316,4381,SC,MP,INSTIGO,inconnu
317,4383,ELE,ELE GENERALE,MAHAMBA,inconnu
318,4385,MEC,MEC GENERALE,ITIG,inconnu
319,4388,LITT,LP,METANOIA,inconnu
320,4389,SC,MP,MAJENGO,inconnu
321,4390,MEC,MEC GENER,ADVENTISTE/BUNIA,inconnu
322,4392,TECH,CA,INST LISALISI,inconnu
323,4396,SC,MP,ALFAJIRI,inconnu
324,4397,TECH,SOCIALE,MAMA YETU,inconnu
325,4398,TCH,CA,MAMA YETU,inconnu
326,4399,TEC,CA,METANOIA,inconnu
327,4401,TEC,CA,MARANATHA,inconnu
328,4402,SC,BC,L AMANI,inconnu
329,4408,SC,BC,NOTRE DAME DU CONGO,inconnu
330,4409,TEC,CA,ZANNER,inconnu
331,4410,TEC,CA,META,inconnu
332,4411,TEC,NUTRITION,L CHEMCHEM,inconnu
333,4415,TEC,CA,BUNGULU,inconnu
334,4416,TECH,CA,HIMBI,inconnu
335,4418,PED,PG,LA SAGESSE,inconnu
336,4419,PED,PG,LYCEE ANUARITE,inconnu
337,4421,LIT,LP,METANOIA,inconnu
338,4422,TECH,CA,INST ISIDORE BAKANDJA,inconnu
339,4424,TEC,CA,MWANGA,inconnu
340,4426,TEC,COMM INFORMATIQUE,LYCEE KIMBILIO,inconnu
341,4430,TEC,COM INFORMATIQUE,L KIMBILIO,inconnu
342,4432,TECH,CA,METANOIA,inconnu
343,4433,tech,ca,tuungane,inconnu
344,4436,TECH,CA,INST FARAJA,inconnu
345,4437,TEC,CA,FARAJA,inconnu
346,4439,SC,BC,KYESHERO,inconnu
347,4441,TEC,CA,FARAJA,inconnu
348,4446,TEC CA,CA,MWANGA,inconnu
349,4447,SC,MP,NDAHURA,inconnu
350,4449,PED,PG,KASHOFU,inconnu
351,4450,TEC,CA,RUTOBOKO,inconnu
352,4453,TEC,CA,MARANATHA,inconnu
353,4455,PED,PG,KYESHERO,inconnu
354,4457,TEC,SOCIALE,LYCEE CHEMCHEM,inconnu
355,4458,TEC,SOCIALE,LYCEE CHECHEM,inconnu
356,4460,TEC,CA,HIMBI,inconnu
357,4463,TECH,CA,BAKANJA,inconnu
358,4466,TEC,SOCIALE,MONT CARMEL,inconnu
359,4467,PED,PG,NAMURHERA,inconnu
360,4468,TEC,CA,MUZIZI,inconnu
361,4470,TECH,CA,SAINT JOSEPH,inconnu
362,4471,LIT,LP,MAENDELEO,inconnu
363,4472,TEC,CA,MWANGA/UVIRA,inconnu
364,4473,TEC,CA,ZANNER,inconnu
365,4474,TEC,CA,ST JOSEPH,inconnu
366,4475,PED,PG,INST BORA,inconnu
367,4478,lit,lp,ALFAJIRI,inconnu
368,4481,TEC,COM INFORMATIQUE,MGR MULINDWA,inconnu
369,4482,SC,MP,ELIMU,inconnu
370,4483,NUTRITION,NUTRITION ET DIET,LYCEE CHEMCHEM,inconnu
371,4488,TECH,ELECTRICITE,ITIG,inconnu
372,4489,TECH,ELECTRICITE,ITFM,inconnu
373,4490,SC,MP,INST PILOTE DE KALIMA,inconnu
374,4492,SC,BC,METANOIA,inconnu
375,4493,PED,PG,L ANUARITE,inconnu
376,4494,ELEC,ELEC GENERALE,ITIG,inconnu
377,4497,ELECTR,ELEC INDUST,AVENIR,inconnu
378,4498,ELE,ELEC INDUST,ITFM,inconnu
379,4500,TEC,CA,FARAJA,inconnu
380,4505,SC,BC,METANOIA,inconnu
381,4508,TECH,SOCIALE,MIKENO/ISL,inconnu
382,4510,PED,PG,NENGAPETA,inconnu
383,4511,MEC,MEC GEN,KYESHERO,inconnu
384,4512,SC,BC,BAKANJA,inconnu
385,4513,TEC,SOCIALE,NYABUSHONGO,inconnu
386,4515,LIT,LP,AIGLE DE DIEU,inconnu
