,IDENTIFICATION,DIPLOMSECTION,DIPLOMOPTION,SCHOOL,SCHOOLSTATUS
2641,9495,Pédagogique,Pédagogie Générale,Kiraku,inconnu
2642,9496,Pédagogique,Pédagogie Générale,Sayuni,inconnu
2643,9497,Pédagogique,Pédagogie Générale,Wema,inconnu
2644,9498,Scientifique,Biologie chimie,Faraja,inconnu
2645,9499,Pédagogique,Pédagogie Générale,Uenezaji,inconnu
2646,9500,Technique,Sociale,Saint André,inconnu
2647,9501,Pédagogique,Pédagogie Générale,Autodidacte,inconnu
2648,9502,Technique,Nutrition,Saint Augustin,inconnu
2649,9503,Technique,Commerciale et Administrative,Faraja,inconnu
2650,9504,Technique,Commerciale et Administrative,Faraja,inconnu
2651,9505,Pédagogique,Pédagogie Générale,Totoro,inconnu
2652,9506,Scientifique,Mathématique Physique,Ibanda,inconnu
2653,9507,Technique,Sociale,Mikeno Islamique,inconnu
2654,9508,Pédagogique,Pédagogie Générale,Isidore Bakanja,inconnu
2655,9509,Technique,Sociale,Alleluya,inconnu
2656,9510,Scientifique,Biologie chimie,Matendo,inconnu
2657,9511,Littéraire,Latin philo,Mwanga,inconnu
2658,9512,Scientifique,Mathématique Physique,Mgr Byaene,inconnu
2659,9513,Technique,Commerciale et Administrative,Mwanga,inconnu
2660,9514,Technique,Sociale,Isidore Bakanja,inconnu
2661,9515,Technique,Sociale,Saint André,inconnu
2662,9516,Littéraire,Latin philo,Mwanga,inconnu
2663,9517,Technique,Mécanique Machines outlis,Lukanga,inconnu
2664,9518,Scientifique,Biologie chimie,Fadhili,inconnu
2665,9519,Technique,Electricité industrielle,ITFM Fundi Maendeleo,inconnu
2666,9520,Pédagogique,Pédagogie Générale,CS ASSECO,inconnu
2667,9521,Scientifique,Biologie chimie,SAINT PAUL,inconnu
2668,9522,Littéraire,Latin philo,Metanoia,inconnu
2669,9523,Pédagogique,Pédagogie Générale,KISHANGA,inconnu
2670,9524,Scientifique,Biologie chimie,Nuru,inconnu
2671,9526,Scientifique,Biologie chimie,Lycée Anuarite,inconnu
2672,9527,Technique,Electricité industrielle,ITFM Fundi Maendeleo,inconnu
2673,9528,Technique,Electricité générale,ITI MAHAMBA,inconnu
2674,9529,Pédagogique,Pédagogie Générale,Buhimba,inconnu
2675,9530,Technique,Commerciale et Administrative,Mwenga wa taifa,inconnu
2676,9531,Pédagogique,Pédagogie Générale,Mont Carmel,inconnu
2677,9532,Technique,Sociale,CS Katasoire,inconnu
2678,9533,Pédagogique,Pédagogie Générale,Ndosho,inconnu
2679,9534,Technique,Hôtesse d'acceuil,GS Gilgali,inconnu
2680,9535,Pédagogique,Pédagogie Générale,Bulema,inconnu
2681,9536,Pédagogique,Pédagogie Générale,Kihinga/kirumba,inconnu
2682,9537,Technique,Coupe couture,Lycée Kimbilio,inconnu
2683,9538,Pédagogique,Pédagogie Générale,Tuendelye,inconnu
2684,9539,Technique,Construction,Saint Marc,inconnu
2685,9540,Scientifique,Mathématique Physique,Mwanga,inconnu
2686,9542,Technique,Commerciale et Administrative,Zanner,inconnu
2687,9543,Pédagogique,Pédagogie Générale,Fadhili,inconnu
2688,9544,Technique,Commerciale et Administrative,Zanner,inconnu
2689,9545,Littéraire,Latin philo,Bihira,inconnu
2690,9546,Pédagogique,Pédagogie Générale,Autodidacte,inconnu
2691,9547,Pédagogique,Pédagogie Générale,Visogho,inconnu
2692,9548,Technique,Sociale,Msawato,inconnu
2693,9549,Technique,Commerciale et Administrative,Collège Pierre Bouvet,inconnu
2694,9550,Scientifique,Biologie chimie,Isidore Bakanja,inconnu
2695,9551,Scientifique,Biologie chimie,Isidore Bakanja,inconnu
2696,9552,Pédagogique,Pédagogie Générale,Kyeshero,inconnu
2697,9553,Technique,Sociale,Mont Carmel,inconnu
2698,9554,Technique,Commerciale et Administrative,Himbi,inconnu
2699,9555,Technique,Commerciale et Administrative,Mwanga,inconnu
2700,9556,Pédagogique,Pédagogie Générale,Buturande,inconnu
2701,9557,Technique,Sociale,Kabanda,inconnu
2702,9558,Technique,Vétérinaire,ITAV AMBELE,inconnu
2703,9559,Pédagogique,Pédagogie Générale,Metanoia,inconnu
2704,9560,Technique,Sociale,Lycée Sainte Ursule,inconnu
2705,9561,Technique,Commerciale et Administrative,Mont Goma,inconnu
2706,9565,Technique,Sociale,ICL,inconnu
2707,9566,Scientifique,Mathématique Physique,Majengo,inconnu
2708,9567,Pédagogique,Pédagogie Générale,ICL,inconnu
2709,9568,Technique,Sociale,Maendeleo,inconnu
2710,9569,Technique,Sociale,CS KIYABO,inconnu
2711,9570,Technique,Sociale,Totoro,inconnu
2712,9571,Scientifique,Biologie chimie,Maranatha,inconnu
2713,9572,Pédagogique,Pédagogie Générale,Lycée Kigonzo,inconnu
2714,9576,Scientifique,Biologie Chimie,Metanoia,inconnu
2715,9577,Scientifique,Biologie chimie,INSTITUT DE GOMA,inconnu
2716,9580,Scientifique,Mathématique Physique,Wamaza,inconnu
2717,9581,Pédagogique,Pédagogie Générale,Isidore Bakanja,inconnu
2718,9582,Littéraire,Latin philo,Zanner,inconnu
2719,9583,Pédagogique,Pédagogie Générale,Bukavu,inconnu
2720,9584,Pédagogique,Pédagogie Générale,Mulo,inconnu
2721,9585,Technique,Commerciale et Administrative,Ahenée de Butembo,inconnu
2722,9587,Pédagogique,Pédagogie Générale,KILUKU,inconnu
2723,9588,Pédagogique,Pédagogie Générale,TAJI DANKIER,inconnu
2724,9589,Scientifique,Biologie chimie,Tuadibishe,inconnu
2725,9590,Scientifique,Biologie chimie,Kyeshero,inconnu
2726,9591,Technique,Commerciale et Administrative,Mwanga,inconnu
2727,9593,Pédagogique,Pédagogie générale,MABINGU,inconnu
2728,9596,Pédagogique,Pédagogie Générale,AMKENI,inconnu
2729,9598,Pédagogique,Pédagogie Générale,Ndoluma,inconnu
2730,9599,Littéraire,Latin Philo,Himbi,inconnu
2731,9600,Pédagogique,Pédagogie générale,Lycée Kimbilio,inconnu
2732,9602,Technique,Mécanique,ITIG,inconnu
2733,9603,Technique,Sociale,Lycée Sainte ursule,inconnu
2734,9604,Technique,Commerciale et Administrative,Butembo,inconnu
2735,9605,Technique,Commerciale Administrative,CS ESPOIR,privé
2736,9606,Technique,Commerciale Administrative,Lwanzururu,inconnu
2737,9607,Pédagogique,Pédagogie Générale,Kyeshero,inconnu
2738,9608,Technique,Commerciale Administrative,Mont Goma,inconnu
2739,9609,Littéraire,Latin philo,Mont Goma,inconnu
2740,9610,Scientifique,Biologie chimie,Lukanga,inconnu
2741,9611,Pédagogique,Pédagogie Générale,EISTEIN UJUZI,inconnu
2742,9613,Pédagogique,Pédagogie Générale,Kanyamwera,inconnu
2743,9614,Littéraire,Latin Philo,Mwanga,inconnu
2744,9615,Pédagogique,Pédagogie Générale,Chemchem,inconnu
2745,9617,Scientifique,Mathématique physique,WAPOLE,inconnu
2746,9618,Technique,Commerciale et Administrative,Zanner,inconnu
2747,9621,Technique,Sociale,Lycée Sainte Ursule,inconnu
2748,9622,Pédagogique,Pédagogie Générale,Tuadibishe,inconnu
2749,9625,Technique,Commerciale Administrative,Mwanga,inconnu
2750,9627,Scientifique,MATH PHYSIQUE,Faraja,inconnu
2751,9628,Technique,Commerciale Administrative,Himbi,inconnu
2752,9629,Pédagogique,Pédagogie Générale,ICL,inconnu
2753,9630,Technique,Commerciale informatique,Lukanga,inconnu
2754,9633,Technique,Sociale,Lycée Sainte Ursule,inconnu
2755,9634,Pédagogique,Pédagogie Générale,Isidore Bakanja,inconnu
2756,9635,Pédagogique,Pédagogie Générale,Isidore Bakanja,inconnu
2757,9636,Pédagogique,Pédagogie Générale,La fraternité,inconnu
2758,9637,Technique,Sociale,Notre dame aux larmes,inconnu
2759,9638,Technique,Commerciale Administrative,Maendeleo,inconnu
2760,9639,Scientifique,Biologie chimie,Malika wa mbingu,inconnu
2761,9641,Pédagogique,Pédagogie Générale,Vihya,inconnu
2762,9644,Littéraire,Latin Philo,Manga,inconnu
2763,9648,Technique,Commerciale Administrative,Himbi,inconnu
2764,9650,Technique,Commerciale Infomratique,Collège Bonsomi,inconnu
2765,9651,Technique,Commerciale et administrative,NZAMIBOKO,inconnu
2766,9653,Technique,Sociale,CT Beni,inconnu
2767,9654,Technique,Commerciale Administrative,Saint Joseph,inconnu
2768,9657,Scientifique,Biologie chimie,Bungulu,inconnu
2769,9658,Littéraire,Latin Philo,Mwanga,inconnu
2770,9662,Littéraire,Latin Philo,Mont Goma,inconnu
2771,9663,Littéraire,Latin Philo,Lycée Sacre coeur,inconnu
2772,9664,Littéraire,Latin Philo,Maendeleo,inconnu
2773,9665,Scientifique,Biologie chimie,Faraja,inconnu
2774,9666,Scientifique,Biologie chimie,GS Tumba,inconnu
2775,9667,Littéraire,Latin Philo,zanner,inconnu
2776,9671,Pédagogique,Pédagogie Générale,Mugunga,publique
2777,9672,Littéraire,Latin Philo,GS Mont Sinai,inconnu
2778,9673,Technique,Commerciale Administrative,Metanoia,inconnu
2779,9674,Pédagogique,Pédagogie Générale,MIKENO NC,inconnu
2780,9675,Pédagogique,Pédagogie Générale,Metanoia,inconnu
2781,9677,Pédagogique,Pédagogie Générale,Ndoasho,inconnu
2782,9678,Technique,Sociale,CS Mont Sinai,inconnu
2783,9679,Technique,Sociale,NDAHURA,inconnu
2784,9682,Technique,Sociale,MAENDELEO,inconnu
2785,9683,Technique,Commerciale Administrative,EDAC/ISGEA,inconnu
2786,9684,Pédagogique,Pédagogie Générale,HIMBI,inconnu
2787,9685,Technique,Sociale,Autodidacte,inconnu
2788,9690,Pédagogique,Pédagogie Générale,FARAJA,inconnu
2789,9691,Pédagogique,Pédagogie Générale,Bweremana,inconnu
2790,9693,SCIENTIFIQUE,Mathématique Physique,Kalumbwa,inconnu
2791,9695,Scientifique,Math Physique,Alfajiri,inconnu
2792,9697,sScientifique,Biologie Chimie,Lycée Anuarite,catholique
2793,9700,Technique,Commerciale et Administrative,EDAP ISP,inconnu
2794,9701,Pédagogique,Pédagogie Générale,Tujenge,inconnu
2795,9704,Technique,Sociale,Chireja,inconnu
2796,9716,Technique,Commerciale et Administrative,IBANDA,inconnu
2797,9717,Technique,Commerciale et Administrative,EDAP/ISP,inconnu
2798,9718,Scientifique,Mathématique-Physique,nduhura,inconnu
2799,9719,Pédagogique,Pédagogie générale,MALKIA WA MBINGU,inconnu
2800,9721,Pédagogique,Pédagogie Générale,Muungano,inconnu
2801,9722,Littéraire,Latin philo,kasali,inconnu
2802,9729,Technique,Commerciale et Administrative,Butembo,inconnu
2803,9730,Scientifique,Mathématique physique,PILOTE DE KALIMA,inconnu
2804,9737,Technique,Construction,Kyeshero,inconnu
2805,9738,Technique,Sociale,Ndahura,inconnu
2806,9739,Technique,Sociale,Jerico,inconnu
2807,9744,Technique,Commerciale Administrative,EDAP/ISP BKV,inconnu
2808,9745,Pédagogique,Pédagogie Générale,Magherya,inconnu
2809,9746,Pédagogique,Pédagogie Générale,CS Azma,inconnu
2810,9747,Littéraire,latin philo,cHEMCHEM,inconnu
2811,9748,Pédagogique,Pédagogie Générale,Mont Sinai,inconnu
2812,9749,PEDAGOGIE,PEDAGOGIE GENERALE,Ishasha,inconnu
2813,9750,Pédagogique,Pédagogie Générale,Kisungu,inconnu
2814,9756,Pédagogique,Pédagogie Générale,La releve,inconnu
2815,9758,Technique,Commerciale et administrative,Mont Sinai,inconnu
2816,9759,Pédagogique,Pédagogie générale,CS La victoire,inconnu
2817,9760,Pédagogique,Pédagogie générale,Mont Sinai,inconnu
2818,9763,Scientifique,Biologie Chimie,Makyase,publique
2819,9770,Technique,Commerciale Admnistrative,Metanoia,inconnu
2820,9781,Technique,Commerciale et administrative,NURU,inconnu
2821,9782,Pédagogique,Pédagogie Générale,Lycée omisalisa,inconnu
2822,9783,Littéraire,Latin Philo,Alfajiri,inconnu
2823,9784,Pédagogique,Pédagogie Générale,Isidore Bakandja,inconnu
2824,9786,Technique,Commerciale Administrative,Saint Raphael,inconnu
2825,9788,Technique,Commerciale Administrative,Lycée Notre dame de la jeunesse,inconnu
2826,9793,Littéraire,Latin Philo,Alfajiri,inconnu
2827,9807,Littéraire,Latin Philo,Lumumba,inconnu
2828,9815,Pédagogique,Pédagogie Générale,Bigilimani,inconnu
2829,9816,Scientifique,Biologie-Chimie,Bukavu,inconnu
2830,9817,Pédagogique,Pedagogie générale,Isidora Bakanja,inconnu
2831,9818,Pédagogique,Pédagogie Générale,Kiraku,inconnu
2832,9819,Technique,Sociale,Mboga,inconnu
2833,9824,Technique,Electricité industrielle,Autodidacte,inconnu
2834,9825,Scientifique,Biologie-Chimie,Mwanga,inconnu
2835,9826,Pédagogique,Pédagogie Générale,Isidore Bakandja,inconnu
2836,9827,Scientifique,Biologie-Chimie,EDAP/ISP BKV,inconnu
2837,9828,Technique,Sociale,Mama Yetu,inconnu
2838,9829,Scientique,Mathématique-Physique,Ibanda,inconnu
2839,9830,Technique,Sociale,Lycée Ste Ursule,inconnu
2840,9831,Technique,Sociale,Lycée Ste Ursule,inconnu
2841,9832,Technique,Sociale,ICL,inconnu
2842,9833,Technique,Commerciale administrative,ZANNER,inconnu
2843,9834,Technique,Construction,Kyeshero,inconnu
2844,9835,Scientifique,Mathématique Physique,EDAP ISP/BKV,inconnu
2845,9836,Pédagogique,Pédagogie Générale,CS Tuungane,inconnu
2846,9837,Scientifique,Mathématique Physique,Goma,inconnu
2847,9838,Scientifique,Mathématique Physique,Collège Saint Paul,inconnu
2848,9839,Technique,Sociale,CS Ushindi,inconnu
2849,9840,Technique,Commerciale administrative,Zawadi ya raisi,inconnu
2850,9841,Scientifique,Mathématique Physique,Lycée Révérend Kim,inconnu
2851,9842,Technique,Commerciale administrative,Metanoia,inconnu
2852,9843,Pédagogique,Pédagogie Générale,Baraka,inconnu
2853,9844,Scientifique,Biologie Chimie,EDAP ISP/BKV,inconnu
2854,9845,Technique,Commerciale administrative,Mikano Islamique,inconnu
2855,9846,Scientifique,Bioligie-Chimie,Malula,inconnu
2856,9847,Technique,Commerciale et Administrative,Metanoia,inconnu
2857,9849,Technique,Commerciale Informatique,Uzima,inconnu
2858,9850,Technique,Hotesse d'Acceuil,Mikeno Islamique,inconnu
2859,9851,Technique,Electricité,ITIG,inconnu
2860,9852,Technique,Commerciale et Administrative,Metanoia,inconnu
2861,9853,Scientifique,Mathématique Physique,Lycée Mapatano,inconnu
2862,9854,Technique,Commerciale et Administrative,Metanoia,inconnu
2863,9855,Pédagogique,Pédagogie Générale,Maranatha,inconnu
2864,9856,Technique,Commerciale et Administrative,Metanoia,inconnu
2865,9857,Technique,Commerciale et Administrative,Metanoia,inconnu
2866,9858,Technique,Commerciale et Administrative,Goma,inconnu
2867,9859,Technique,Commerciale Informatique,CS MAMA YETU,inconnu
2868,9860,Litteraire,LATIN PHILO,Zanner,inconnu
2869,9861,Technique,Commerciale et Administrative,Zanner,inconnu
2870,9862,Technique,Sociale,Kabale,inconnu
2871,9863,Litteraire,Latin Philosophie,Mont Goma,inconnu
2872,9864,Technique,Commerciale et Administrative,Zanner,inconnu
2873,9865,Technique,Commerciale Informatique,Amen,inconnu
2874,9866,Technique,Commerciale et Administrative,Metanoia,inconnu
2875,9867,Scientifique,Bioligie-Chimie,Goma,inconnu
2876,9868,Littéraire,Latin-Philo,Metanoia,inconnu
2877,9869,Littéraire,Latin-Philo,Zanner,inconnu
2878,9870,Scientifique,Bioligie-Chimie,Lycée Amani,inconnu
2879,9871,Pédagogique,Pédagogie Générale,Faraja,inconnu
2880,9872,Technique,Commerciale et Administrative,Zanner,inconnu
2881,9873,Littéraire,Latin-Philo,Mwanga,inconnu
2882,9874,Technique,Sociale,Maendeleo,inconnu
2883,9875,Technique,Commerciale et Administrative,Saint Joseph,inconnu
2884,9876,Technique,Construction,Uenezaji,inconnu
2885,9877,Littéraire,Latin-Philo,Metanoia,inconnu
2886,9879,Technique,Social,Lycée Sainte Ursule,inconnu
2887,9880,Litteraire,LATIN PHILO,Metanoia,inconnu
2888,9881,Littéraire,Latin-Philo,Mwanga,inconnu
2889,9882,Technique,Sociale,CS Katasoyire,inconnu
2890,9883,Pédagogique,Pédagogie Générale,Goma,inconnu
2891,9884,Technique,Commerciale et Administrative,Jikaze,inconnu
2892,9885,Pédagogique,Pédagogie Générale,Isidore Bakanja,inconnu
2893,9886,Technique,Sociale,Mikeno,inconnu
2894,9887,Scientifique,Biologie-Chimie,Majengo,inconnu
2895,9888,Pédagogique,Pédagogie Générale,CS Tupendane Fech,inconnu
2896,9889,Technique,Construction,Kyeshero,inconnu
2897,9890,Scientifique,Biologie-Chimie,Lycée Wima,inconnu
2898,9891,Technique,Sociale,Lycée Sainte Ursule,inconnu
2899,9892,Pédagogique,Pédagogie Générale,Ruvunda,inconnu
2900,9893,Pédagogique,Pédagogie Générale,Kimua,inconnu
2901,9894,Pédagogique,Pédagogie Générale,Lycée Pain de vie,inconnu
2902,9895,Technique,Commerciale Informatique,Tumaini,inconnu
2903,9896,Technique,Commerciale Informatique,Uzima,inconnu
2904,9897,Pédagogique,Pédagogie Générale,Tumaini,inconnu
2905,9898,Scientifique,Mathématique Physique,Alfajiri,inconnu
2906,9899,Technique,Commerciale et Administrative,Metanoia,inconnu
2907,9900,Scientifique,Mathématique-Physique,Faraja,inconnu
2908,9901,Technique,Commerciale et Administrative,Mwanga,inconnu
2909,9902,Technique,Sociale,Mont Carmel,inconnu
2910,9903,Technique,Electricité,Kyeshero,inconnu
2911,9904,Pédagogique,Pédagogie Générale,CS Aigle pécheur,inconnu
2912,9905,Technique,Nutrition,Sainte Ursule,inconnu
2913,9906,Technique,Commerciale et Administrative,Tuungane,inconnu
2914,9907,Litteraire,Latin Philosophie,Mwanga,inconnu
2915,9908,Scientifique,Biologie-Chimie,Metanoia,inconnu
2916,9909,Scientifique,Biologie-Chimie,Lwanga,inconnu
2917,9910,Technique,Commerciale et Administrative,Metanoia,inconnu
2918,9911,Littéraire,Latin Philosophie,Mwanga,inconnu
2919,9912,Technique,Nutrition,Kabalaka,inconnu
2920,9913,Scientifique,Biologie-Chimie,Mwanga,inconnu
2921,9914,Technique,Sociale,Lycée Sainte Ursule,inconnu
2922,9915,Scientifique,Biologie-Chimie,Isidore Bakanja,inconnu
2923,9916,Scientifique,Biologie-Chimie,Goma,inconnu
2924,9917,Littéraire,Latin Philosophie,Metanoia,inconnu
2925,9918,Littéraire,Latin Philosophie,Metanoia,inconnu
2926,9919,Pédagogique,Pédagogie Générale,CS Estein Ujuzi,inconnu
2927,9920,Scientifique,Biologie-Chimie,Lycée Amani,inconnu
2928,9921,Technique,Commerciale et Administrative,Himbi,inconnu
2929,9922,Technique,Sociale,Bemba Gombo,inconnu
2930,9923,Pédagogique,Pédagogie Générale,Juhudi,inconnu
2931,9924,Technique,Sociale,Kadutu,inconnu
2932,9927,Technique,Commerciale et Administrative,Nuru,inconnu
2933,9928,Pédagogique,Pédagogie Générale,CS Nova stella,inconnu
2934,9929,Technique,Commerciale et Administrative,Mwanga,inconnu
2935,9930,Pédagogique,Pédagogie Générale,Himbi,inconnu
2936,9931,Technique,Commerciale et Administrative,Mikeno Islamique,inconnu
2937,9932,Technique,Sociale,Tusome,inconnu
2938,9933,Technique,Sociale,Kishondja,inconnu
2939,9934,Technique,Commerciale et Administrative,Maranatha,inconnu
2940,9935,Technique,Commerciale et Administrative,Maranatha,inconnu
2941,9937,Technique,Commerciale et Administrative,Mikeno Islamique,inconnu
2942,9938,Technique,Commerciale et Administrative,Mikeno NC,inconnu
2943,9939,Technique,Sociale,Lycée Sante Ursule,inconnu
2944,9940,Littéraire,Latin Philosophie,Mwanga,inconnu
2945,9941,Technique,Commerciale et Administrative,EDAP/UPN,inconnu
2946,9942,Littéraire,Latin Philosophie,Mwanga,inconnu
2947,9944,Littéraire,Latin Philosophie,Metanoia,inconnu
2948,9945,Scientifique,Mathématique Physique,Goma,inconnu
2949,9946,Technique,Commerciale Iormatiquenf,Uzima,inconnu
2950,9947,Littéraire,Latin Philosophie,Mwanga,inconnu
2951,9948,Scientifique,Mathématique Physique,Goma,inconnu
2952,9949,Technique,Sociale,Mululu,inconnu
2953,9950,Scientifique,Biologie Chimie,Mwanga,inconnu
2954,9951,Scientifique,Mathématique Physique,Mwanga,inconnu
2955,9952,Technique,Commerciale et Administrative,Mwanga,inconnu
2956,9953,Pédagogique,Pédagogie Générale,Weza,inconnu
2957,9954,Technique,Sociale,Umoja,inconnu
2958,9955,Technique,Commerciale et Administrative,Mwanga,inconnu
2959,9956,Technique,Sociale,Mont Carmel,inconnu
2960,9957,Littéraire,Latin Philosophie,Maendeleo,inconnu
2961,9958,Technique,Mecanique machines outils,IFTM,inconnu
2962,9959,Scientifique,Biologie Chimie,Lwanga,inconnu
2963,9960,Littéraire,Latin Philosophie,Metanoia,inconnu
2964,9961,Scientifique,Mathématique Physique,Faraja,inconnu
2965,9962,Technique,Commerciale et Administrative,Mwanga,inconnu
2966,9963,Technique,Commerciale et Administrative,Mgr Gudo,inconnu
2967,9964,Technique,Sociale,Patemo,inconnu
2968,9965,Scientifique,Biologie Chimie,GS MBALA,inconnu
2969,9966,Technique,Commerciale Informatique,Saint Joseph,inconnu
2970,9968,Littéraire,Latin Philosophie,Maendeleo,inconnu
2971,9969,Pédagogique,Pédagogi Générale,Visoke,inconnu
2972,9970,Technique,Sociale,Muzizi,inconnu
2973,9971,Pédagogique,Pédagogi Générale,GS Mont Sinai,inconnu
2974,9972,Pédagogique,Pédagogie générale,Kisungu,inconnu
2975,9973,Scientifique,Biologie Chimie,Tupendane,inconnu
2976,9974,Technique,Electricité,Kyeshero,inconnu
2977,9975,Scientifique,Biologie Chimie,Goma,inconnu
2978,9976,Technique,Sociale,Lycée Sainte ursule,inconnu
2979,9977,Technique,Commerciale et Administrative,Mikeno Islamique,inconnu
2980,9978,Scientifique,Mathématique Physique,Jikaze,inconnu
2981,9979,Technique,Sociale,Mikeno/NC,inconnu
2982,9980,Technique,Sociale,Umoja,inconnu
2983,9981,Littéraire,Latin Philosophie,Metanoia,inconnu
2984,9982,Technique,Commerciale et Administrative,ICL,inconnu
2985,9983,Scientifique,Biologie Chimie,Metanoia,inconnu
2986,9984,Technique,Sociale,institut Technique de l’Étude sociale,inconnu
2987,9985,Pédagogique,Pédagogie générale,Totoro,inconnu
2988,9986,Technique,Electricité Générale,Kyeshero,inconnu
2989,9987,Scientifique,Biologie Chimie,Isidore bakanja,inconnu
2990,9988,Technique,Commerciale et Administrative,Mwanga,inconnu
2991,9990,Pédagogique,Pédagogi Générale,Ujuzi,inconnu
2992,9991,Technique,Sociale,IT Bugabo,inconnu
2993,9992,Technique,Commerciale et Administrative,Metanoia,inconnu
2994,9993,Technique,Sociale,Mikeno Islamique,inconnu
2995,9994,Littéraire,Latin Philosophie,Zanner,inconnu
2996,9995,Littéraire,Latin Philosophie,Lycée Wima,inconnu
2997,9996,Pédagogique,Pédagogie générale,Imani panzi,inconnu
2998,9997,Littéraire,Latin Philosophie,Zanner,inconnu
2999,9999,Technique,Sociale,Mont SionII,inconnu
3000,10000,Technique,Commerciale et Administrative,Metanoia,inconnu
3001,10001,Scientifique,Biologie Chimie,Metanoia,inconnu
3002,10003,Pédagogique,Pédagogie générale,Kilambo,inconnu
3003,10004,Technique,Sociale,CT DE BENI,inconnu
3004,10005,Pédagogique,Pédagogie générale,Autodidacte,inconnu
3005,10006,Pédagogique,Pédagogie générale,Lycée Anuarite,inconnu
3006,10007,Technique,Commerciale et Administrative,Zanner,inconnu
3007,10008,Pédagogique,Pédagogie générale,Isingo,inconnu
3008,10009,Scientifique,Mathématique Physique,Mwanga,inconnu
3009,10010,Pédagogique,Pédagogie générale,Metanoia,inconnu
3010,10011,Pédagogique,Pédagogie générale,Goma,inconnu
3011,10013,Pédagogique,Pédagogie générale,Kanyantende,inconnu
3012,10014,Technique,Commerciale et Administrative,Moria,inconnu
3013,10015,Littéraire,Latin Philosophie,Lycée Wima,inconnu
3014,10016,Technique,Agriculture,Saint Michel,inconnu
3015,10017,Scientifique,Mathématique Physique,Faraja,inconnu
3016,10018,Technique,Sociale,Cikoma,inconnu
3017,10019,Technique,Sociale,CS Amen,inconnu
3018,10020,Technique,Sociale,Rutoboko,inconnu
3019,10021,Littéraire,Latin Philosophie,Mwanga,inconnu
3020,10022,Scientifique,Biologie Chimie,Isidore bakanja,inconnu
3021,10023,Technique,Sociale,Kibabi/Rubaya,inconnu
3022,10025,Scientifique,Biologie Chimie,Maranatha,inconnu
3023,10027,Pédagogique,Pédagogie Générale,Matendo,inconnu
3024,10028,Technique,Commerciale et Administrative,Metanoia,inconnu
3025,10029,Pédagogique,Pédagogie Générale,Maendeleo,inconnu
3026,10030,Pédagogique,Pédagogie Générale,Maendeleo,inconnu
3027,10031,Technique,Sociale,Rutoboko,inconnu
3028,10032,Littéraire,Latin Philosophie,Zanner,inconnu
3029,10034,Technique,Sociale,Nyabushongo,inconnu
3030,10035,Scientifique,Biologie Chimie,ICL,inconnu
3031,10036,Technique,Commerciale et Administrative,Faraja,inconnu
3032,10037,Scientifique,Biologie Chimie,ICL,inconnu
3033,10038,Technique,Commerciale et AdministrativeInformatique,Lycée Sainte Germaine,inconnu
3034,10039,Pédagogique,Pédagogie Générale,Lycée Kilimani,inconnu
3035,10040,Technique,Commerciale et Administrative,Msaada,inconnu
3036,10041,Scientifique,Biologie Chimie,Maranatha,inconnu
3037,10042,Pédagogique,Pédagogie Générale,Saint Joseph,inconnu
3038,10043,Technique,Electricité industrielle,ITFM,inconnu
3039,10044,Technique,Sociale,Msawato,inconnu
3040,10045,Scientifique,Mathématique Physique,Majengo,inconnu
3041,10046,Pédagogique,Pédagogie Générale,Maranatha,inconnu
3042,10047,Technique,Sociale,GS La Réponse,inconnu
3043,10048,Scientifique,Biologie Chimie,Kambali,inconnu
3044,10049,Pédagogique,Pédagogie Générale,Amkeni,inconnu
3045,10050,Littéraire,Latin Philosophie,Mwanga,inconnu
3046,10051,Technique,Electricité industrielle,ITFM,inconnu
3047,10052,Technique,Sociale,Lycée Sainte Ursile,inconnu
3048,10053,Pédagogique,Pédagogie Générale,Kasali,inconnu
3049,10054,Technique,Commerciale et Administrative,Mont Goma,inconnu
3050,10055,Technique,Commerciale Informatique,Uzima,inconnu
3051,10056,Technique,Sociale,Nuru,inconnu
3052,10057,Pédagogique,Pédagogie Générale,Rijumba,inconnu
3053,10058,Technique,Commerciale et Administrative,Zanner,inconnu
3054,10059,Technique,Commerciale et Administrative,Nuru,inconnu
3055,10061,Scientifique,Mathématique Physique,Mwanga,inconnu
3056,10062,Technique,Sociale,Mont Carmel,inconnu
3057,10063,Technique,Commerciale et Administrative,Mwanga,inconnu
3058,10064,Scientifique,Biologie Chimie,Bukavu,inconnu
3059,10065,Pédagogique,Pédagogie Générale,CS Bandashe,inconnu
3060,10066,Générale,Economie,Carmel,inconnu
3061,10067,Technique,Commerciale et Administrative,ICL,inconnu
3062,10069,Scientifique,Biologie Chimie,Mwanga,inconnu
3063,10070,Technique,Commerciale et Administrative,Mont Goma,inconnu
3064,10071,Scientifique,Mathématique Physique,Faraja,inconnu
3065,10072,Technique,Commerciale et Administrative,Mwanga,inconnu
3066,10074,Pédagogique,Pédagogie Générale,Tujenge,inconnu
3067,10075,Technique,Electronique,Avenir,inconnu
3068,10076,Pédagogique,Pédagogie Générale,Weza2,inconnu
3069,10077,Scientifique,Mathématique Physique,Majengo,inconnu
3070,10078,Littéraire,Latin Philosophie,Maendeleo,inconnu
3071,10079,Technique,Commerciale et Administrative,Mont Goma,inconnu
3072,10080,Scientifique,Biologie Chimie,Mwanga,inconnu
3073,10081,Pédagogique,Pédagogie Générale,Kahelele,inconnu
3074,10082,Technique,Sociale,Mikeno NC,inconnu
