,ID,ACADYEAR,PERC1,MENT1,PERC2,MENT2,FAC,PROM,Echec,Pass1erSession,Distinction,PercFinal
252,4014,2012-2013,65.6999969482,S,,,FSTA,G3,False,True,False,65.6999969482
253,4014,2013-2014,,A,65.9000015259,S,FSTA,Tech2,False,False,False,65.9000015259
254,4023,2013-2014,,AA,,A,FSDC,G3,True,False,False,40.0
255,4023,2014-2015,,ADSTFC,59.0,S,FSDC,G3,False,False,False,59.0
256,4023,2015-2016,,AA,61.5999984741,S,FSDC,L1,False,False,False,61.5999984741
257,4024,2013-2014,,ADST,64.6999969482,S,FSEG,L2,False,False,False,64.6999969482
258,4026,2013-2014,,A,59.7000007629,S,FD,L2,False,False,False,59.7000007629
259,4032,2012-2013,60.7000007629,S,,,FD,L1,False,True,False,60.7000007629
260,4032,2013-2014,,A,63.7000007629,S,FD,L2,False,False,False,63.7000007629
261,4038,2012-2013,78.0999984741,D,,,FD,L2,False,True,True,78.0999984741
262,4039,2012-2013,63.0999984741,S,,,FD,L2,False,True,False,63.0999984741
263,4040,2015-2016,,AA,55.0999984741,S,FD,L1,False,False,False,55.0999984741
264,4041,2013-2014,,AA,58.7999992371,S,FD,L2,False,False,False,58.7999992371
265,4043,2012-2013,63.2999992371,S,,,FD,L2,False,True,False,63.2999992371
266,4048,2013-2014,,AA,,AA,FSEG,L2,True,False,False,40.0
267,4057,2013-2014,,ADM,64.8000030518,S,FT,L2,False,False,False,64.8000030518
268,4062,2013-2014,,AA,,A,FSDC,L1,True,False,False,42.0
269,4064,2012-2013,63.0,S,,,FSDC,L2,False,True,False,63.0
270,4071,2013-2014,,AA,71.1999969482,D,FSTA,Tech2,False,False,True,71.1999969482
271,4072,2013-2014,65.6999969482,S,,,FSTA,Tech1,False,True,False,65.6999969482
272,4072,2014-2015,,AA,60.7000007629,S,FSTA,Tech2,False,False,False,60.7000007629
273,4073,2012-2013,70.0,D,,,FSTA,TECH1,False,True,True,70.0
274,4073,2013-2014,,AA,70.1999969482,D,FSTA,Tech2,False,False,True,70.1999969482
275,4074,2013-2014,,AA,65.4000015259,S,FSTA,Tech2,False,False,False,65.4000015259
276,4080,2013-2014,,AA,,AA,FSTA,G1,True,False,False,47.0
277,4083,2013-2014,,AA,64.0999984741,S,FSTA,Tech1,False,False,False,64.0999984741
278,4083,2014-2015,,AA,,ADST,FSTA,Tech2,False,False,False,55.0
279,4091,2013-2014,,AA,70.6999969482,D,FSTA,G3,False,False,True,70.6999969482
280,4091,2014-2015,,AA,72.5,D,FSTA,Tech1,False,False,True,72.5
281,4091,2015-2016,,ADM,73.4000015259,D,FSTA,Tech2,False,False,True,73.4000015259
282,4093,2013-2014,,AA,57.2000007629,S,FSTA,Tech1,False,False,False,57.2000007629
283,4093,2014-2015,,AA,65.4000015259,S,FSTA,Tech2,False,False,False,65.4000015259
284,4094,2013-2014,,A,65.3000030518,S,FSTA,Tech2,False,False,False,65.3000030518
285,4097,2012-2013,63.0,S,,,FSTA,TECH1,False,True,False,63.0
286,4097,2013-2014,,ADSTM,66.4000015259,S,FSTA,Tech2,False,False,False,66.4000015259
287,4101,2012-2013,66.0,S,,,FSTA,TECH1,False,True,False,66.0
288,4101,2013-2014,,AA,64.5999984741,S,FSTA,Tech2,False,False,False,64.5999984741
289,4104,2013-2014,,AA,59.0,S,FSEG,L2,False,False,False,59.0
290,4106,2013-2014,,A,67.1999969482,S,FSTA,Tech2,False,False,False,67.1999969482
291,4107,2013-2014,,AA,64.9000015259,S,FSTA,Tech1,False,False,False,64.9000015259
292,4107,2014-2015,,AA,,,FSTA,Tech2,True,False,False,45.0
293,4117,2013-2014,,ADSTM,65.8000030518,S,FSTA,Tech2,False,False,False,65.8000030518
294,4119,2013-2014,,AA,,A,FSTA,Tech1,True,False,False,40.0
295,4119,2014-2015,,AA,,A,FSTA,Tech1,True,False,False,47.0
296,4125,2013-2014,,AA,,A,FD,L2,True,False,False,40.0
297,4126,2013-2014,,AA,59.0999984741,S,FSDC,L2,False,False,False,59.0999984741
298,4128,2013-2014,62.5,S,,,FSDC,L2,False,True,False,62.5
299,4129,2013-2014,,AA,,A,FSDC,L2,True,False,False,44.0
300,4136,2012-2013,62.7000007629,S,,,FD,L2,False,True,False,62.7000007629
