,Unnamed: 0,DIPLOMSECTION,DIPLOMOPTION,SCHOOL,SCHOOLSTATUS,SCHOOL_CORRECT,SCHOOL_RIGHT,OPTION
510,510,TEC,sociale,chemchem,inconnu,chemchem,chemchem,sociale
511,511,PED,pg,edap/upn,inconnu,edap/upn,edap/upn,pedagogie
512,512,TEC,sociale,buturande,inconnu,buturande,bulera,sociale
513,513,PED,pg,kyeshero,inconnu,kyeshero,kyeshero,pedagogie
514,514,PED,pg,kyeshero,inconnu,kyeshero,kyeshero,pedagogie
515,515,SC,bc,kyeshero,inconnu,kyeshero,kyeshero,bio-chimie
516,516,LIT,lp,zanner,inconnu,zanner,zanner,latin philo
517,517,LIT,lp,zanner,inconnu,zanner,zanner,latin philo
518,518,TEC,soaciale,mont sinai,inconnu,mont sinai,mont sinai,sociale
519,519,SC,bc,majengo,inconnu,majengo,majengo,bio-chimie
520,520,TECH,coupe couture,lycee de kalamu,inconnu,de kalamu,de kalamu,coupe couture
521,521,PED,pg,ndahura,inconnu,ndahura,ndahura,pedagogie
522,522,ped,pg,buturande,inconnu,buturande,bulera,pedagogie
523,523,TEC,socaile,mavuno,inconnu,mavuno,mavuno,sociale
524,524,PED,pg,kayanja,inconnu,kayanja,kayanja,pedagogie
525,525,SC,pm,bungulu,inconnu,bungulu,uhuru,pedagogie
526,526,PED,pg,kahya cibanda,inconnu,kahya cibanda,kahya cibanda,pedagogie
527,527,lit,lp,saint michel,inconnu,saint michel,saint michel,latin philo
528,528,COMM,ca,mwanga,inconnu,mwanga,mwanga,commmerciale et adm
529,529,TEC,ca,inst mwanga,inconnu,mwanga,mwanga,commmerciale et adm
530,530,PED,pg,maranatha,inconnu,maranatha,maranatha,pedagogie
531,531,TEC,ca,tumaini,inconnu,tumaini,muhini,commmerciale et adm
532,532,TEC,sociale,maendeleo,inconnu,maendeleo,maendeleo,sociale
533,533,SC,bc,faraja,inconnu,faraja,faraja,bio-chimie
534,534,LIT,lp,aigles de dieu,inconnu,aigles de dieu,aigle de dieu,latin philo
535,535,SC,bc,mgr kataliko,inconnu,mgr kataliko,mgr kataliko,bio-chimie
536,536,TECH,sociale,bahati,inconnu,bahati,bahati,sociale
537,537,Pédagogique,pédagogie générale,gsc congolaise,inconnu,gsc congolaise,gs kigali,pedagogie
538,538,PED,pg,bakanja,inconnu,bakanja,bakadja,pedagogie
539,539,TECH,ca,cs mama yetu,inconnu,mama yetu,mama yetu,commmerciale et adm
540,540,Pédagogique,p,cs espoir2,inconnu,espoir2,espoir1,pedagogie
541,541,LIT,lp,bangu,inconnu,bangu,kalungu,latin philo
542,542,LIT,lp,mwanga,inconnu,mwanga,mwanga,latin philo
543,543,TEC,ca,malkia wa mbingu,inconnu,malkia wa mbingu,malikia wa bingu,commmerciale et adm
544,544,LIT,lp,mwanga,inconnu,mwanga,mwanga,latin philo
545,545,PED,pg,ruwenzori,inconnu,ruwenzori,ruwenzori,pedagogie
546,546,PED,pg,sake,inconnu,sake,sake,pedagogie
547,547,LIT,lp,mwanga,inconnu,mwanga,mwanga,latin philo
548,548,PED,pg,faraja,inconnu,faraja,faraja,pedagogie
549,549,PED,pg,luapula,inconnu,luapula,luapula,pedagogie
550,550,TEC,ca,ecole belge,inconnu,belge,belge,commmerciale et adm
551,551,LIT,lp,maendeleo,inconnu,maendeleo,maendeleo,latin philo
552,552,PED,pg,maendeleo,inconnu,maendeleo,maendeleo,pedagogie
553,553,PED,pg,mavuno,inconnu,mavuno,mavuno,pedagogie
554,554,PED,pg,inst2 masisi,inconnu,inst2 masisi,masisi,pedagogie
555,555,LIT,lp,de bukavu,inconnu,de bukavu,de bukavu,latin philo
556,556,LIT,lp,metanoia,inconnu,metanoia,metanoia,latin philo
557,557,LIT,lp,mwanga uvira,inconnu,mwanga uvira,mwanga/ uvira,latin philo
558,558,TECH,ca,mwanga,inconnu,mwanga,mwanga,commmerciale et adm
559,559,TEC,sociale,mugunga,inconnu,mugunga,mugunga,sociale
560,560,TEC,coupe couture,chemchem,inconnu,chemchem,chemchem,coupe couture
561,561,TECH,sociale,inst nyabushongo,inconnu,nyabushongo,nyabushongo,sociale
562,562,PED,pg,lumiere du progres,inconnu,lumiere du progres,lumiere du monde,pedagogie
563,563,PED,pg,bagira,inconnu,bagira,bagira,pedagogie
564,564,PED,pg,katana,inconnu,katana,katana,pedagogie
565,565,PED,pg,maranatha,inconnu,maranatha,maranatha,pedagogie
566,566,SC,bc,mwanga,inconnu,mwanga,mwanga,bio-chimie
567,567,PED,pg,faraja,inconnu,faraja,faraja,pedagogie
568,568,SC,bc,sukisa,inconnu,sukisa,mukaba,bio-chimie
569,569,TEC,sociale,lycee chemchem,inconnu,chemchem,chemchem,sociale
570,570,LIT,lp,kambali,inconnu,kambali,kambali,latin philo
571,571,PED,pg,lukpafu,inconnu,lukpafu,luka,pedagogie
572,572,TEC,soc,ndahura,inconnu,ndahura,ndahura,sociale
