,IDENTIFICATION,ACADYEAR,PERC1,MENT1,PERC2,MENT2,FAC,OPT,PROM
6176,9462,2014-2015,58.5999984741,A,64.6999969482,S,FSTA,Tronc commun,G1
6177,9462,2015-2016,,AA,59.7999992371,S,FSTA,Génie Électrique,G2
6178,9463,2013-2014,47.7999992371,A,56.9000015259,S,FD,Tronc commun,G1
6179,9463,2014-2015,,AA,55.4000015259,S,FD,Tronc commun,G2
6180,9463,2015-2016,,AA,56.4000015259,S,FD,Droit Public,G3
6181,9464,2013-2014,45.4000015259,A,53.4000015259,S,FSEG,Tronc commun,G1
6182,9464,2014-2015,,AA,59.2000007629,S,FSEG,Tronc commun,G2
6183,9464,2015-2016,62.7000007629,S,,,FSEG,Tronc commun,G3
6184,9465,2013-2014,,AA,,AA,FSTA,Tronc commun,G0
6185,9466,2013-2014,50.5999984741,A,55.2999992371,S,FSEG,Tronc commun,G1
6186,9466,2014-2015,,AA,59.9000015259,S,FSEG,Tronc commun,G2
6187,9466,2015-2016,63.4000015259,S,,,FSEG,Tronc commun,G3
6188,9468,2013-2014,67.5999984741,S,,,FD,Tronc commun,G1
6189,9468,2014-2015,,AA,63.9000015259,S,FD,Tronc commun,G2
6190,9468,2015-2016,78.5,D,,,FD,Droit Économique et Social,G3
6191,9469,2013-2014,,AA,,AA,FSTA,Tronc commun,G0
6192,9470,2013-2014,53.7999992371,A,59.7999992371,S,FD,Tronc commun,G1
6193,9470,2014-2015,,AA,58.7999992371,S,FD,Tronc commun,G2
6194,9470,2015-2016,,A,60.5,S,FD,Droit Public,G3
6195,9471,2013-2014,,AA,,AA,FSEG,Tronc commun,G1
6196,9471,2014-2015,,AA,,A,FSEG,Tronc commun,G1
6197,9472,2013-2014,,AA,,AA,FSEG,Tronc commun,G1
6198,9474,2013-2014,,AA,,A,FSDC,Tronc commun,G1
6199,9475,2013-2014,,AA,,AA,FSEG,Tronc commun,G1
6200,9476,2013-2014,,AA,,A,FT,Tronc commun,G1
6201,9477,2013-2014,58.7000007629,S,,,FSEG,Tronc commun,G1
6202,9477,2014-2015,,AA,62.2000007629,S,FSEG,Tronc commun,G2
6203,9477,2015-2016,61.5,S,,,FSEG,Tronc commun,G3
6204,9478,2013-2014,35.2000007629,NAF,,,FPSE,Tronc commun,G1
6205,9478,2014-2015,,AA,51.2999992371,A,FPSE,Sciences de l'Éducation,G1
6206,9479,2013-2014,,AA,,A,FD,Tronc commun,G1
6207,9480,2013-2014,,AA,,AA,FSEG,Tronc commun,G1
6208,9481,2013-2014,,AA,,A,FD,Droit Privé et Judiciaire,G3
6209,9482,2013-2014,,AA,44.2999992371,A,FSTA,Tronc commun,G0
6210,9483,2013-2014,54.2000007629,A,60.2999992371,S,FPSE,Psychologie / Psychologie clinique,L1
6211,9483,2014-2015,,AA,61.0,S,FPSE,Psychologie / Psychologie clinique,L2
6212,9484,2013-2014,,AA,59.7999992371,S,FD,Tronc commun,G1
6213,9484,2014-2015,,AA,55.0999984741,S,FD,Tronc commun,G2
6214,9484,2015-2016,,A,59.2000007629,S,FD,Droit Public,G3
6215,9485,2013-2014,56.5999984741,S,,,FPSE,Tronc commun,G1
6216,9485,2014-2015,58.9000015259,S,,,FPSE,Psychologie / Psychologie clinique,G2
6217,9485,2015-2016,63.2000007629,S,,,FPSE,Psychologie / Psychologie clinique,G3
6218,9486,2013-2014,66.4000015259,S,,,FSTA,Tronc commun,G0
6219,9486,2014-2015,70.5999984741,D,,,FSTA,Tronc commun,G1
6220,9486,2015-2016,56.2999992371,S,,,FSTA,Génie Civil,G2
6221,9487,2013-2014,62.2000007629,S,,,FSTA,Tronc commun,G0
6222,9487,2014-2015,67.0999984741,S,,,FSTA,Tronc commun,G1
6223,9487,2015-2016,52.4000015259,A,54.7000007629,S,FSTA,Génie Civil,G2
6224,9488,2013-2014,,AA,60.0999984741,S,FPSE,Tronc commun,G1
6225,9488,2014-2015,,AA,60.5,S,FPSE,Psychologie / Psychologie clinique,G2
6226,9488,2015-2016,,AA,61.5,S,FPSE,Psychologie / Psychologie clinique,G3
6227,9489,2013-2014,,AA,62.2000007629,S,FSTA,Tronc commun,G0
6228,9489,2014-2015,46.9000015259,A,55.9000015259,S,FSTA,Tronc commun,G1
6229,9489,2015-2016,,AA,55.0,S,FSTA,Génie Civil,G2
6230,9490,2013-2014,53.7999992371,S,,,FD,Tronc commun,G1
6231,9490,2014-2015,51.0999984741,A,57.2999992371,S,FD,Tronc commun,G2
6232,9490,2015-2016,,ADSTFC,62.0,S,FD,Droit Public,G3
6233,9491,2013-2014,,AA,67.0999984741,S,FD,Droit Public,L2
6234,9492,2013-2014,61.7999992371,S,,,FD,Tronc commun,G1
6235,9492,2014-2015,,AA,66.0,S,FD,Tronc commun,G2
6236,9492,2015-2016,,ADTFC,66.0999984741,S,FD,Droit Privé et Judiciaire,G3
6237,9493,2013-2014,56.2999992371,A,63.5999984741,S,FD,Tronc commun,G1
6238,9493,2014-2015,64.5999984741,S,,,FD,Tronc commun,G2
6239,9493,2015-2016,70.8000030518,D,,,FD,Droit Public,G3
6240,9494,2013-2014,51.5999984741,A,57.4000015259,S,FSEG,Tronc commun,G1
6241,9494,2014-2015,58.2999992371,S,,,FSEG,Tronc commun,G2
6242,9494,2015-2016,,A,58.2000007629,S,FSEG,Tronc commun,G3
6243,9495,2013-2014,,AA,,A,FSDC,Tronc commun,G1
6244,9495,2014-2015,,AA,,AA,FSDC,Tronc commun,G1
6245,9496,2013-2014,46.2999992371,A,59.7999992371,S,FSEG,Tronc commun,G1
6246,9496,2014-2015,,AA,58.2000007629,S,FSEG,Tronc commun,G2
6247,9496,2015-2016,,A,61.2999992371,S,FSEG,Tronc commun,G3
6248,9497,2013-2014,62.2000007629,S,,,FSEG,Tronc commun,G1
6249,9497,2014-2015,63.0,S,,,FSEG,Tronc commun,G2
6250,9497,2015-2016,65.6999969482,S,,,FSEG,Tronc commun,G3
6251,9498,2013-2014,,AA,,AA,FSEG,Tronc commun,G1
6252,9499,2013-2014,,AA,55.5999984741,S,FSTA,Tronc commun,G0
6253,9499,2014-2015,46.2999992371,A,56.2000007629,S,FSTA,Tronc commun,G1
6254,9499,2015-2016,,AA,52.7999992371,A,FSTA,Génie Civil,G2
6255,9500,2013-2014,60.2000007629,ADST,59.7999992371,S,FSDC,Tronc commun,G1
6256,9500,2014-2015,,A,64.0,S,FSDC,Tronc commun,G2
6257,9500,2015-2016,,AA,,AA,FSDC,Tronc commun,G3
6258,9501,2013-2014,,AA,52.7999992371,A,FSDC,Tronc commun,G1
6259,9502,2013-2014,49.5,A,56.2000007629,S,FT,Tronc commun,G1
6260,9502,2014-2015,,AA,56.4000015259,S,FT,Tronc commun,G2
6261,9502,2015-2016,57.5,A,61.4000015259,S,FT,Tronc commun,G3
6262,9503,2013-2014,53.2000007629,A,56.2000007629,S,FSEG,Tronc commun,G1
6263,9503,2014-2015,55.7999992371,S,,,FSEG,Tronc commun,G2
6264,9503,2015-2016,,A,58.7999992371,S,FSEG,Tronc commun,G3
6265,9504,2013-2014,,AA,55.2999992371,S,FSEG,Tronc commun,G1
6266,9504,2014-2015,48.9000015259,A,55.0,S,FSEG,Tronc commun,G2
6267,9505,2013-2014,,AA,57.9000015259,S,FSEG,Tronc commun,G1
6268,9505,2014-2015,,AA,,A,FSEG,Tronc commun,G2
6269,9506,2013-2014,,AA,51.2999992371,S,FSTA,Tronc commun,G0
6270,9506,2014-2015,50.0,A,46.5999984741,A,FSTA,Tronc commun,G1
6271,9506,2015-2016,,AA,,NAF,FSTA,Tronc commun,G1
6272,9507,2013-2014,,AA,47.0999984741,A,FD,Tronc commun,G1
6273,9507,2014-2015,,AA,48.4000015259,A,FD,Tronc commun,G1
6274,9508,2013-2014,47.5,A,57.9000015259,S,FD,Tronc commun,G1
6275,9508,2014-2015,56.0,A,61.7000007629,S,FD,Tronc commun,G2
6276,9508,2015-2016,,A,60.4000015259,S,FD,Droit Public,G3
6277,9509,2013-2014,,AA,59.2999992371,S,FD,Tronc commun,G1
6278,9509,2014-2015,60.5999984741,S,,,FD,Tronc commun,G2
6279,9509,2015-2016,63.9000015259,S,,,FD,Droit Public,G3
6280,9510,2013-2014,54.0,A,61.9000015259,S,FD,Tronc commun,G1
6281,9510,2014-2015,,AA,63.5999984741,S,FD,Tronc commun,G2
6282,9510,2015-2016,,A,62.2999992371,S,FD,Droit Public,G3
6283,9511,2013-2014,56.5999984741,S,,,FD,Tronc commun,G1
6284,9511,2014-2015,51.0,A,56.4000015259,S,FD,Tronc commun,G2
6285,9511,2015-2016,,AA,58.9000015259,S,FD,Droit Économique et Social,G3
6286,9512,2013-2014,,AA,55.2999992371,S,FSTA,Tronc commun,G0
6287,9512,2014-2015,,AA,50.0,A,FSTA,Tronc commun,G1
6288,9513,2013-2014,49.7000007629,A,63.2999992371,S,FSEG,Tronc commun,G1
6289,9513,2014-2015,61.7999992371,S,,,FSEG,Tronc commun,G2
6290,9513,2015-2016,61.0,S,,,FSEG,Tronc commun,G3
6291,9514,2013-2014,60.2000007629,A,63.7000007629,S,FSTA,Tronc commun,G0
6292,9514,2014-2015,57.7999992371,S,,,FSTA,Tronc commun,G1
6293,9514,2015-2016,,AA,57.7999992371,S,FSTA,Génie Civil,G2
