,ID,CGPA,DistinctionRatio,EchecRatio,NACADYEAR,Pass1stSessionRatio
192,4023,56.7833328247,0.0,0.333333333333,3.0,0.0
193,4024,64.6999969482,0.0,0.0,1.0,0.0
194,4026,59.7000007629,0.0,0.0,1.0,0.0
195,4032,62.2000007629,0.0,0.0,2.0,0.5
196,4038,78.0999984741,1.0,0.0,1.0,1.0
197,4039,63.0999984741,0.0,0.0,1.0,1.0
198,4040,55.0999984741,0.0,0.0,1.0,0.0
199,4041,58.7999992371,0.0,0.0,1.0,0.0
200,4043,63.2999992371,0.0,0.0,1.0,1.0
201,4048,49.25,0.0,1.0,1.0,0.0
202,4057,64.8000030518,0.0,0.0,1.0,0.0
203,4062,49.75,0.0,1.0,1.0,0.0
204,4064,63.0,0.0,0.0,1.0,1.0
205,4071,71.1999969482,1.0,0.0,1.0,0.0
206,4072,63.1999988555,0.0,0.0,2.0,0.5
207,4073,70.0999984741,1.0,0.0,2.0,0.5
208,4074,65.4000015259,0.0,0.0,1.0,0.0
209,4080,49.25,0.0,1.0,1.0,0.0
210,4083,59.5499992371,0.0,0.0,2.0,0.0
211,4091,72.1999994914,1.0,0.0,3.0,0.0
212,4093,61.3000011444,0.0,0.0,2.0,0.0
213,4094,65.3000030518,0.0,0.0,1.0,0.0
214,4097,64.7000007629,0.0,0.0,2.0,0.5
215,4101,65.2999992371,0.0,0.0,2.0,0.5
216,4104,59.0,0.0,0.0,1.0,0.0
217,4106,67.1999969482,0.0,0.0,1.0,0.0
218,4107,55.9500007629,0.0,0.5,2.0,0.0
219,4117,65.8000030518,0.0,0.0,1.0,0.0
220,4119,47.75,0.0,1.0,2.0,0.0
221,4125,49.5,0.0,1.0,1.0,0.0
222,4126,59.0999984741,0.0,0.0,1.0,0.0
223,4128,62.5,0.0,0.0,1.0,1.0
224,4129,48.25,0.0,1.0,1.0,0.0
225,4136,62.7000007629,0.0,0.0,1.0,1.0
226,4137,65.0,0.0,0.0,1.0,1.0
227,4140,56.6166674296,0.0,0.333333333333,3.0,0.0
228,4143,49.25,0.0,1.0,1.0,0.0
229,4149,71.3000030518,1.0,0.0,1.0,1.0
230,4167,61.0999984741,0.0,0.0,1.0,1.0
231,4168,57.9000015259,0.0,0.0,1.0,0.0
232,4171,53.8999996185,0.0,0.5,2.0,0.0
233,4172,63.9000015259,0.0,0.0,1.0,0.0
234,4177,65.8000030518,0.0,0.0,1.0,0.0
235,4178,60.0999984741,0.0,0.0,1.0,1.0
